
ABL00106;10.32.169.10;NCR         
ABL00107;10.208.19.90;NCR         
ABL00108;10.208.23.98;NCR         
ABL00109;10.33.199.9;NCR         
ABL00110;10.208.28.42;NCR         
ABL00112;10.32.15.10;NCR         
ABL00113;10.32.15.9;NCR         
ABL00114;10.33.117.9;DIEBOLD     
ABL00115;10.33.117.11;NCR         
ABL00116;10.34.235.9;NCR         
ABL00117;10.32.83.5;NCR         
ABL00118;10.32.83.10;NCR         
ABL00119;10.208.2.138;NCR         
ABL00120;10.34.87.9;NCR         
ABL00121;10.34.31.9;NCR         
ABL00122;10.32.137.9;NCR         
ABL00123;10.32.137.5;NCR         
ABL00124;10.208.2.114;NCR         
ABL00125;10.208.7.74;NCR         
ABL00126;10.32.79.9;NCR         
ABL00127;10.32.79.5;NCR         
ABL00128;10.33.68.9;NCR         
ABL00129;10.33.70.11;NCR         
ABL00131;10.33.85.9;DIEBOLD     
ABL00132;10.33.85.11;NCR         
ABL00134;10.32.97.11;NCR         
ABL00135;10.32.97.10;NCR         
ABL00136;10.34.74.9;NCR         
ABL00137;10.32.95.9;NCR         
ABL00139;10.33.150.10;DIEBOLD     
ABL00140;10.33.150.9;NCR         
ABL00141;10.32.119.9;DIEBOLD     
ABL00142;10.32.119.10;NCR         
ABL00143;10.208.3.114;NCR         
ABL00144;10.33.66.9;NCR         
ABL00145;10.33.66.10;NCR         
ABL00146;10.208.19.82;NCR         
ABL00147;10.208.25.58;NCR         
ABL00148;10.32.243.9;NCR         
ABL00149;10.208.24.34;NCR         
ABL00150;10.208.1.83;NCR         
ABL00151;10.32.37.50;NCR         
ABL00152;10.32.37.10;DIEBOLD     
ABL00153;10.32.63.9;NCR         
ABL00154;10.208.3.226;NCR         
ABL00156;10.208.16.194;NCR         
ABL00157;10.208.17.186;NCR         
ABL00158;10.32.81.9;NCR         
ABL00159;10.32.81.10;DIEBOLD     
ABL00160;10.208.16.250;NCR         
ABL00162;10.208.27.154;NCR         
ABL00163;10.208.16.18;NCR         
ABL00164;10.208.16.162;NCR         
ABL00165;10.208.16.10;NCR         
ABL00166;10.208.17.194;NCR         
ABL00167;10.34.163.9;NCR         
ABL00168;10.208.19.114;NCR         
ABL00169;10.32.19.12;DIEBOLD     
ABL00170;10.32.19.9;NCR         
ABL00173;10.32.124.10;NCR         
ABL00175;10.34.197.9;NCR         
ABL00176;10.33.66.6;NCR         
ABL00178;10.32.162.2;NCR         
ABL00179;10.208.28.170;NCR         
ABL00180;10.34.212.9;NCR         
ABL00181;10.34.207.9;DIEBOLD     
ABL00182;10.34.21.5;NCR         
ABL00183;10.208.1.66;NCR         
ABL00184;10.33.169.5;NCR         
ABL00185;10.34.236.9;NCR         
ABL00186;10.32.97.9;NCR         
ABL00187;10.34.207.5;NCR         
ABL00190;10.208.5.34;NCR         
ABL00191;10.208.29.10;NCR         
ABL00192;10.208.5.250;NCR         
ABL00193;10.34.87.5;DIEBOLD     
ABL00194;10.33.70.9;DIEBOLD     
ABL00195;10.34.197.5;DIEBOLD     
ABL00196;10.33.139.5;DIEBOLD     
ABL00197;10.32.63.10;DIEBOLD     
ABL00198;10.33.199.5;DIEBOLD     
ABL00199;10.208.29.34;NCR         
ABL00200;10.208.16.154;NCR         
ABL00201;10.208.25.58;NCR         
ABL00202;10.34.235.5;NCR         
ABL00203;10.208.0.194;NCR         
ABL00204;10.208.23.186;NCR         
ABL00205;10.208.17.226;NCR         
ABR00001;10.113.113.9;NCR         
ABR00002;10.112.48.5;NCR         
ABR00003;10.112.48.6;NCR         
ABR00004;10.96.33.9;NCR         
ABR00005;10.113.10.9;NCR         
